|6.6.6
basalt_0_h2o_allmorb_11092020_3.tab                                                                 
           2
T(K)    
   273.14999999999998     
   16.160101010101009     
         100
P(bar)  
   1.0000000000000000     
   1010.0909090909091     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  273.1500       1.000000       3307.843    
  289.3101       1.000000       3296.310    
  305.4702       1.000000       3303.303    
  321.6303       1.000000       3287.312    
  337.7904       1.000000       3132.755    
  353.9505       1.000000       3109.772    
  370.1106       1.000000       3088.941    
  386.2707       1.000000       3079.773    
  402.4308       1.000000       3080.162    
  418.5909       1.000000       3081.567    
  434.7510       1.000000       3081.094    
  450.9111       1.000000       3071.508    
  467.0712       1.000000       3075.197    
  483.2313       1.000000       3076.312    
  499.3914       1.000000       3073.917    
  515.5515       1.000000       3070.358    
  531.7116       1.000000       3069.033    
  547.8717       1.000000       3068.023    
  564.0318       1.000000       3067.493    
  580.1919       1.000000       3068.295    
  596.3520       1.000000       3066.102    
  612.5121       1.000000       3066.274    
  628.6722       1.000000       3065.601    
  644.8323       1.000000       3065.318    
  660.9924       1.000000       3060.454    
  677.1525       1.000000       3062.985    
  693.3126       1.000000       3065.440    
  709.4727       1.000000       3060.385    
  725.6328       1.000000       3058.460    
  741.7929       1.000000       3057.179    
  757.9530       1.000000       3055.894    
  774.1131       1.000000       3053.978    
  790.2732       1.000000       3052.637    
  806.4333       1.000000       3051.272    
  822.5934       1.000000       3054.465    
  838.7535       1.000000       3053.020    
  854.9136       1.000000       3050.572    
  871.0737       1.000000       3047.284    
  887.2338       1.000000       3046.027    
  903.3939       1.000000       3045.447    
  919.5540       1.000000       3043.919    
  935.7141       1.000000       3044.182    
  951.8742       1.000000       3035.391    
  968.0343       1.000000       3034.373    
  984.1944       1.000000       3033.319    
  1000.355       1.000000       3031.683    
  1016.515       1.000000       3030.791    
  1032.675       1.000000       3030.710    
  1048.835       1.000000       3028.377    
  1064.995       1.000000       3028.702    
  1081.155       1.000000       3026.527    
  1097.315       1.000000       3025.442    
  1113.475       1.000000       3023.520    
  1129.635       1.000000       3023.540    
  1145.795       1.000000       3014.576    
  1161.956       1.000000       3013.097    
  1178.116       1.000000       3012.175    
  1194.276       1.000000       3010.107    
  1210.436       1.000000       3009.096    
  1226.596       1.000000       3007.226    
  1242.756       1.000000       3005.956    
  1258.916       1.000000       3004.159    
  1275.076       1.000000       3003.662    
  1291.236       1.000000       3002.054    
  1307.396       1.000000       3000.588    
  1323.557       1.000000       2998.689    
  1339.717       1.000000       2996.822    
  1355.877       1.000000       2995.138    
  1372.037       1.000000       2994.451    
  1388.197       1.000000       2992.571    
  1404.357       1.000000       2990.281    
  1420.517       1.000000       2990.038    
  1436.677       1.000000       2988.702    
  1452.837       1.000000       2987.116    
  1468.997       1.000000       2985.948    
  1485.158       1.000000       2984.157    
  1501.318       1.000000       2983.041    
  1517.478       1.000000       2981.626    
  1533.638       1.000000       2980.310    
  1549.798       1.000000       2978.424    
  1565.958       1.000000       2977.017    
  1582.118       1.000000       2975.531    
  1598.278       1.000000       2974.204    
  1614.438       1.000000       2967.767    
  1630.598       1.000000       2958.113    
  1646.759       1.000000       2954.244    
  1662.919       1.000000       2952.050    
  1679.079       1.000000       2942.983    
  1695.239       1.000000       2937.451    
  1711.399       1.000000       2934.649    
  1727.559       1.000000       2931.052    
  1743.719       1.000000       2932.620    
  1759.879       1.000000       2925.529    
  1776.039       1.000000       2921.397    
  1792.199       1.000000       2922.015    
  1808.360       1.000000       2919.969    
  1824.520       1.000000       2914.616    
  1840.680       1.000000       2870.452    
  1856.840       1.000000       2730.045    
  1873.000       1.000000       2685.535    
  273.1500       1011.091       3311.770    
  289.3101       1011.091       3304.670    
  305.4702       1011.091       3309.074    
  321.6303       1011.091       3315.329    
  337.7904       1011.091       3300.353    
  353.9505       1011.091       3309.812    
  370.1106       1011.091       3312.939    
  386.2707       1011.091       3292.752    
  402.4308       1011.091       3118.188    
  418.5909       1011.091       3097.744    
  434.7510       1011.091       3081.809    
  450.9111       1011.091       3080.694    
  467.0712       1011.091       3079.689    
  483.2313       1011.091       3079.081    
  499.3914       1011.091       3077.722    
  515.5515       1011.091       3076.892    
  531.7116       1011.091       3073.978    
  547.8717       1011.091       3073.949    
  564.0318       1011.091       3074.748    
  580.1919       1011.091       3073.387    
  596.3520       1011.091       3072.320    
  612.5121       1011.091       3071.337    
  628.6722       1011.091       3070.399    
  644.8323       1011.091       3070.502    
  660.9924       1011.091       3066.188    
  677.1525       1011.091       3070.474    
  693.3126       1011.091       3066.686    
  709.4727       1011.091       3066.252    
  725.6328       1011.091       3063.153    
  741.7929       1011.091       3062.544    
  757.9530       1011.091       3061.151    
  774.1131       1011.091       3060.782    
  790.2732       1011.091       3062.285    
  806.4333       1011.091       3061.464    
  822.5934       1011.091       3059.461    
  838.7535       1011.091       3058.308    
  854.9136       1011.091       3057.031    
  871.0737       1011.091       3056.874    
  887.2338       1011.091       3054.924    
