|6.6.6
basalt_0_h2o_yak_hp11ver_11092020_3.tab                                                             
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  300.0000       1000.000       3198.475    
  313.1313       1000.000       3198.288    
  326.2626       1000.000       3198.851    
  339.3939       1000.000       3195.016    
  352.5253       1000.000       3195.718    
  365.6566       1000.000       3193.011    
  378.7879       1000.000       3197.406    
  391.9192       1000.000       3195.949    
  405.0505       1000.000       3199.238    
  418.1818       1000.000       3189.714    
  431.3131       1000.000       3191.152    
  444.4444       1000.000       3190.586    
  457.5758       1000.000       3142.586    
  470.7071       1000.000       3078.461    
  483.8384       1000.000       3060.010    
  496.9697       1000.000       3058.060    
  510.1010       1000.000       3058.963    
  523.2323       1000.000       3060.014    
  536.3636       1000.000       3061.149    
  549.4949       1000.000       3009.035    
  562.6263       1000.000       3006.756    
  575.7576       1000.000       3006.409    
  588.8889       1000.000       3006.714    
  602.0202       1000.000       3006.499    
  615.1515       1000.000       3005.954    
  628.2828       1000.000       3005.178    
  641.4141       1000.000       3004.931    
  654.5455       1000.000       3004.073    
  667.6768       1000.000       3002.915    
  680.8081       1000.000       3003.551    
  693.9394       1000.000       3005.954    
  707.0707       1000.000       3001.928    
  720.2020       1000.000       2998.314    
  733.3333       1000.000       2997.613    
  746.4646       1000.000       2996.488    
  759.5960       1000.000       2995.801    
  772.7273       1000.000       2994.669    
  785.8586       1000.000       2993.919    
  798.9899       1000.000       2993.181    
  812.1212       1000.000       2992.038    
  825.2525       1000.000       2991.199    
  838.3838       1000.000       2990.049    
  851.5152       1000.000       2989.119    
  864.6465       1000.000       2988.153    
  877.7778       1000.000       2986.992    
  890.9091       1000.000       2986.020    
  904.0404       1000.000       2990.423    
  917.1717       1000.000       2983.883    
  930.3030       1000.000       2984.287    
  943.4343       1000.000       2982.847    
  956.5657       1000.000       2981.745    
  969.6970       1000.000       2981.636    
  982.8283       1000.000       2980.330    
  995.9596       1000.000       2978.849    
  1009.091       1000.000       2977.697    
  1022.222       1000.000       2976.562    
  1035.354       1000.000       2975.388    
