|6.6.6
basalt_0_h2o_yak_hp11ver_11092020_4.tab                                                             
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         H2O,wt%       
  300.0000       1000.000       0.000000    
  313.1313       1000.000       0.000000    
  326.2626       1000.000       0.000000    
  339.3939       1000.000       0.000000    
  352.5253       1000.000       0.000000    
  365.6566       1000.000       0.000000    
  378.7879       1000.000       0.000000    
  391.9192       1000.000       0.000000    
  405.0505       1000.000       0.000000    
  418.1818       1000.000       0.000000    
  431.3131       1000.000       0.000000    
  444.4444       1000.000       0.000000    
  457.5758       1000.000       0.000000    
  470.7071       1000.000       0.000000    
  483.8384       1000.000       0.000000    
  496.9697       1000.000       0.000000    
  510.1010       1000.000       0.000000    
  523.2323       1000.000       0.000000    
  536.3636       1000.000       0.000000    
  549.4949       1000.000       0.000000    
  562.6263       1000.000       0.000000    
  575.7576       1000.000       0.000000    
  588.8889       1000.000       0.000000    
  602.0202       1000.000       0.000000    
  615.1515       1000.000       0.000000    
  628.2828       1000.000       0.000000    
  641.4141       1000.000       0.000000    
  654.5455       1000.000       0.000000    
  667.6768       1000.000       0.000000    
  680.8081       1000.000       0.000000    
  693.9394       1000.000       0.000000    
  707.0707       1000.000       0.000000    
  720.2020       1000.000       0.000000    
  733.3333       1000.000       0.000000    
  746.4646       1000.000       0.000000    
  759.5960       1000.000       0.000000    
  772.7273       1000.000       0.000000    
  785.8586       1000.000       0.000000    
  798.9899       1000.000       0.000000    
  812.1212       1000.000       0.000000    
  825.2525       1000.000       0.000000    
  838.3838       1000.000       0.000000    
  851.5152       1000.000       0.000000    
  864.6465       1000.000       0.000000    
  877.7778       1000.000       0.000000    
  890.9091       1000.000       0.000000    
  904.0404       1000.000       0.000000    
  917.1717       1000.000       0.000000    
  930.3030       1000.000       0.000000    
  943.4343       1000.000       0.000000    
  956.5657       1000.000       0.000000    
  969.6970       1000.000       0.000000    
  982.8283       1000.000       0.000000    
  995.9596       1000.000       0.000000    
  1009.091       1000.000       0.000000    
  1022.222       1000.000       0.000000    
  1035.354       1000.000       0.000000    
  1048.485       1000.000       0.000000    
  1061.616       1000.000       0.000000    
  1074.747       1000.000       0.000000    
  1087.879       1000.000       0.000000    
  1101.010       1000.000       0.000000    
  1114.141       1000.000       0.000000    
  1127.273       1000.000       0.000000    
  1140.404       1000.000       0.000000    
  1153.535       1000.000       0.000000    
  1166.667       1000.000       0.000000    
  1179.798       1000.000       0.000000    
  1192.929       1000.000       0.000000    
  1206.061       1000.000       0.000000    
  1219.192       1000.000       0.000000    
  1232.323       1000.000       0.000000    
  1245.455       1000.000       0.000000    
  1258.586       1000.000       0.000000    
  1271.717       1000.000       0.000000    
  1284.848       1000.000       0.000000    
  1297.980       1000.000       0.000000    
  1311.111       1000.000       0.000000    
  1324.242       1000.000       0.000000    
  1337.374       1000.000       0.000000    
  1350.505       1000.000       0.000000    
