|6.6.6
basalt_sat_allmorb_10302020_2.tab                                                                   
           2
T(K)    
   400.00000000000000     
   11.111111111111111     
         100
P(bar)  
   2000.0000000000000     
   787.87878787878788     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  400.0000       2000.000       2840.498    
  411.1111       2000.000       2840.098    
  422.2222       2000.000       2839.609    
  433.3333       2000.000       2836.909    
  444.4444       2000.000       2836.227    
  455.5556       2000.000       2837.094    
  466.6667       2000.000       2842.627    
  477.7778       2000.000       2842.248    
  488.8889       2000.000       2841.627    
  500.0000       2000.000       2840.091    
  511.1111       2000.000       2852.377    
  522.2222       2000.000       2955.313    
  533.3333       2000.000       2960.721    
  544.4444       2000.000       2972.775    
  555.5556       2000.000       2991.046    
  566.6667       2000.000       2992.042    
  577.7778       2000.000       3008.061    
  588.8889       2000.000       3008.210    
  600.0000       2000.000       3006.808    
  611.1111       2000.000       3005.946    
  622.2222       2000.000       3006.439    
  633.3333       2000.000       3008.870    
  644.4444       2000.000       3011.245    
  655.5556       2000.000       3013.392    
  666.6667       2000.000       3011.304    
  677.7778       2000.000       3012.522    
  688.8889       2000.000       3012.108    
  700.0000       2000.000       3011.623    
  711.1111       2000.000       3011.866    
  722.2222       2000.000       3003.845    
  733.3333       2000.000       3002.456    
  744.4444       2000.000       2983.962    
  755.5556       2000.000       2984.039    
  766.6667       2000.000       2970.763    
  777.7778       2000.000       2969.115    
  788.8889       2000.000       2967.603    
  800.0000       2000.000       2974.150    
  811.1111       2000.000       2973.000    
  822.2222       2000.000       2973.272    
  833.3333       2000.000       2972.363    
  844.4444       2000.000       2973.873    
  855.5556       2000.000       2972.467    
  866.6667       2000.000       2973.326    
  877.7778       2000.000       2972.578    
  888.8889       2000.000       2974.354    
  900.0000       2000.000       2972.260    
  911.1111       2000.000       2970.825    
  922.2222       2000.000       3001.933    
  933.3333       2000.000       3040.994    
  944.4444       2000.000       3053.687    
  955.5556       2000.000       3057.990    
  966.6667       2000.000       3057.287    
  977.7778       2000.000       3055.965    
  988.8889       2000.000       3053.334    
  1000.000       2000.000       3054.538    
  1011.111       2000.000       3052.936    
  1022.222       2000.000       3052.499    
  1033.333       2000.000       3051.229    
  1044.444       2000.000       3050.966    
  1055.556       2000.000       3050.012    
  1066.667       2000.000       3049.189    
  1077.778       2000.000       3048.170    
  1088.889       2000.000       3047.263    
  1100.000       2000.000       3045.998    
  1111.111       2000.000       3045.368    
  1122.222       2000.000       3046.053    
  1133.333       2000.000       3040.393    
  1144.444       2000.000       3038.296    
  1155.556       2000.000       3037.540    
  1166.667       2000.000       3037.066    
  1177.778       2000.000       3036.295    
  1188.889       2000.000       3035.231    
  1200.000       2000.000       3034.639    
  1211.111       2000.000       3033.538    
  1222.222       2000.000       3032.992    
  1233.333       2000.000       3032.006    
  1244.444       2000.000       3030.950    
  1255.556       2000.000       3030.414    
  1266.667       2000.000       3029.344    
  1277.778       2000.000       3028.565    
  1288.889       2000.000       3027.860    
  1300.000       2000.000       3027.057    
  1311.111       2000.000       3025.615    
  1322.222       2000.000       3025.202    
  1333.333       2000.000       3024.320    
  1344.444       2000.000       3023.008    
  1355.556       2000.000       3021.941    
  1366.667       2000.000       3020.919    
  1377.778       2000.000       3020.199    
  1388.889       2000.000       3019.658    
  1400.000       2000.000       3018.334    
  1411.111       2000.000       3017.326    
  1422.222       2000.000       3016.266    
  1433.333       2000.000       3015.494    
  1444.444       2000.000       3014.872    
  1455.556       2000.000       3013.396    
  1466.667       2000.000       3012.857    
  1477.778       2000.000       3006.471    
  1488.889       2000.000       3005.447    
  1500.000       2000.000       3004.434    
  400.0000       2787.879       3035.423    
  411.1111       2787.879       2890.391    
  422.2222       2787.879       2885.115    
  433.3333       2787.879       2870.181    
  444.4444       2787.879       2840.012    
  455.5556       2787.879       2839.055    
  466.6667       2787.879       2844.326    
  477.7778       2787.879       2846.606    
  488.8889       2787.879       2845.590    
  500.0000       2787.879       2844.729    
  511.1111       2787.879       2969.927    
  522.2222       2787.879       2969.892    
  533.3333       2787.879       2974.519    
  544.4444       2787.879       2978.586    
  555.5556       2787.879       2992.190    
  566.6667       2787.879       3011.449    
  577.7778       2787.879       3012.684    
  588.8889       2787.879       3010.335    
  600.0000       2787.879       3010.727    
  611.1111       2787.879       3010.756    
  622.2222       2787.879       3010.071    
  633.3333       2787.879       3008.191    
  644.4444       2787.879       3008.374    
  655.5556       2787.879       3011.373    
  666.6667       2787.879       3015.589    
  677.7778       2787.879       3015.235    
  688.8889       2787.879       3017.898    
  700.0000       2787.879       3020.348    
  711.1111       2787.879       3017.393    
  722.2222       2787.879       3012.227    
  733.3333       2787.879       3011.729    
  744.4444       2787.879       3008.246    
  755.5556       2787.879       2991.823    
  766.6667       2787.879       2987.921    
  777.7778       2787.879       2985.367    
  788.8889       2787.879       2984.793    
  800.0000       2787.879       2995.303    
  811.1111       2787.879       2980.340    
  822.2222       2787.879       2980.379    
  833.3333       2787.879       2976.593    
  844.4444       2787.879       2978.204    
  855.5556       2787.879       2978.181    
  866.6667       2787.879       2977.371    
  877.7778       2787.879       2978.745    
  888.8889       2787.879       2979.965    
  900.0000       2787.879       2978.381    
  911.1111       2787.879       2977.131    
  922.2222       2787.879       3035.878    
  933.3333       2787.879       3042.923    
  944.4444       2787.879       3057.381    
  955.5556       2787.879       3057.977    
  966.6667       2787.879       3059.432    
  977.7778       2787.879       3060.117    
  988.8889       2787.879       3059.302    
  1000.000       2787.879       3061.602    
  1011.111       2787.879       3060.570    
  1022.222       2787.879       3060.077    
  1033.333       2787.879       3059.127    
  1044.444       2787.879       3057.731    
  1055.556       2787.879       3055.250    
  1066.667       2787.879       3053.958    
  1077.778       2787.879       3054.707    
  1088.889       2787.879       3053.386    
  1100.000       2787.879       3052.584    
  1111.111       2787.879       3050.696    
  1122.222       2787.879       3050.405    
  1133.333       2787.879       3050.000    
  1144.444       2787.879       3048.757    
  1155.556       2787.879       3048.728    
  1166.667       2787.879       3047.300    
  1177.778       2787.879       3046.524    
  1188.889       2787.879       3045.809    
  1200.000       2787.879       3046.567    
  1211.111       2787.879       3043.299    
  1222.222       2787.879       3039.612    
  1233.333       2787.879       3037.617    
  1244.444       2787.879       3037.060    
  1255.556       2787.879       3036.147    
  1266.667       2787.879       3034.832    
  1277.778       2787.879       3033.944    
  1288.889       2787.879       3032.993    
  1300.000       2787.879       3032.058    
  1311.111       2787.879       3031.401    
  1322.222       2787.879       3030.615    
  1333.333       2787.879       3029.566    
  1344.444       2787.879       3028.183    
  1355.556       2787.879       3027.229    
  1366.667       2787.879       3026.283    
  1377.778       2787.879       3025.439    
  1388.889       2787.879       3024.688    
  1400.000       2787.879       3024.304    
  1411.111       2787.879       3023.392    
  1422.222       2787.879       3022.348    
  1433.333       2787.879       3020.452    
  1444.444       2787.879       3019.646    
  1455.556       2787.879       3018.837    
  1466.667       2787.879       3017.665    
  1477.778       2787.879       3016.767    
  1488.889       2787.879       3016.025    
  1500.000       2787.879       3014.699    
  400.0000       3575.758       3038.043    
  411.1111       3575.758       3037.365    
  422.2222       3575.758       3036.119    
  433.3333       3575.758       3035.629    
  444.4444       3575.758       3033.736    
  455.5556       3575.758       3032.929    
  466.6667       3575.758       3031.884    
  477.7778       3575.758       3023.431    
  488.8889       3575.758       3017.132    
  500.0000       3575.758       2998.439    
  511.1111       3575.758       2990.823    
  522.2222       3575.758       2990.636    
  533.3333       3575.758       2983.875    
  544.4444       3575.758       2990.577    
  555.5556       3575.758       3011.951    
  566.6667       3575.758       3006.388    
  577.7778       3575.758       3012.564    
  588.8889       3575.758       3014.695    
  600.0000       3575.758       3014.183    
  611.1111       3575.758       3013.910    
  622.2222       3575.758       3013.165    
  633.3333       3575.758       3012.339    
  644.4444       3575.758       3011.873    
  655.5556       3575.758       3014.332    
  666.6667       3575.758       3013.306    
  677.7778       3575.758       3014.169    
  688.8889       3575.758       3017.880    
  700.0000       3575.758       3022.785    
  711.1111       3575.758       3021.518    
  722.2222       3575.758       3020.603    
  733.3333       3575.758       3015.791    
  744.4444       3575.758       3014.846    
  755.5556       3575.758       3014.005    
  766.6667       3575.758       3000.030    
  777.7778       3575.758       2995.534    
  788.8889       3575.758       2993.717    
  800.0000       3575.758       2991.444    
  811.1111       3575.758       3005.159    
  822.2222       3575.758       3000.409    
  833.3333       3575.758       2999.303    
  844.4444       3575.758       2984.823    
  855.5556       3575.758       2984.056    
  866.6667       3575.758       2984.093    
  877.7778       3575.758       2984.632    
  888.8889       3575.758       2984.307    
  900.0000       3575.758       2985.111    
  911.1111       3575.758       2986.849    
  922.2222       3575.758       3038.070    
  933.3333       3575.758       3047.534    
  944.4444       3575.758       3054.089    
  955.5556       3575.758       3059.218    
  966.6667       3575.758       3064.736    
  977.7778       3575.758       3069.795    
  988.8889       3575.758       3069.228    
  1000.000       3575.758       3066.608    
  1011.111       3575.758       3065.910    
  1022.222       3575.758       3065.764    
  1033.333       3575.758       3065.501    
  1044.444       3575.758       3063.977    
  1055.556       3575.758       3062.715    
  1066.667       3575.758       3062.139    
  1077.778       3575.758       3061.014    
  1088.889       3575.758       3060.615    
  1100.000       3575.758       3059.851    
  1111.111       3575.758       3058.281    
  1122.222       3575.758       3057.716    
  1133.333       3575.758       3057.225    
  1144.444       3575.758       3056.007    
  1155.556       3575.758       3055.120    
  1166.667       3575.758       3053.908    
  1177.778       3575.758       3053.174    
  1188.889       3575.758       3054.647    
  1200.000       3575.758       3052.372    
  1211.111       3575.758       3050.929    
  1222.222       3575.758       3050.244    
  1233.333       3575.758       3050.046    
  1244.444       3575.758       3047.376    
  1255.556       3575.758       3047.051    
  1266.667       3575.758       3046.104    
  1277.778       3575.758       3046.629    
  1288.889       3575.758       3045.693    
  1300.000       3575.758       3040.039    
  1311.111       3575.758       3038.839    
  1322.222       3575.758       3036.296    
  1333.333       3575.758       3035.322    
  1344.444       3575.758       3034.291    
  1355.556       3575.758       3033.287    
  1366.667       3575.758       3032.378    
  1377.778       3575.758       3033.097    
  1388.889       3575.758       3030.621    
  1400.000       3575.758       3030.112    
  1411.111       3575.758       3028.435    
  1422.222       3575.758       3027.494    
  1433.333       3575.758       3026.521    
  1444.444       3575.758       3026.034    
  1455.556       3575.758       3025.093    
  1466.667       3575.758       3023.695    
  1477.778       3575.758       3022.829    
  1488.889       3575.758       3022.058    
  1500.000       3575.758       3021.266    
  400.0000       4363.636       3041.240    
  411.1111       4363.636       3040.642    
  422.2222       4363.636       3039.945    
  433.3333       4363.636       3038.964    
  444.4444       4363.636       3037.456    
  455.5556       4363.636       3036.993    
  466.6667       4363.636       3035.162    
  477.7778       4363.636       3034.111    
  488.8889       4363.636       3033.260    
  500.0000       4363.636       3031.877    
  511.1111       4363.636       3029.201    
  522.2222       4363.636       3029.201
  533.3333       4363.636       3010.366    
  544.4444       4363.636       3008.930    
  555.5556       4363.636       3015.556    
  566.6667       4363.636       3008.609    
  577.7778       4363.636       3013.945    
  588.8889       4363.636       3021.425    
  600.0000       4363.636       3018.841    
  611.1111       4363.636       3019.737    
  622.2222       4363.636       3019.254    
  633.3333       4363.636       3017.493    
  644.4444       4363.636       3016.844    
  655.5556       4363.636       3016.407    
  666.6667       4363.636       3015.674    
  677.7778       4363.636       3016.407    
  688.8889       4363.636       3018.983    
  700.0000       4363.636       3023.405    
  711.1111       4363.636       3022.471    
  722.2222       4363.636       3025.684    
  733.3333       4363.636       3019.587    
  744.4444       4363.636       3019.019    
  755.5556       4363.636       3018.479    
  766.6667       4363.636       3017.669    
  777.7778       4363.636       3015.308    
  788.8889       4363.636       3001.540    
  800.0000       4363.636       2999.717    
  811.1111       4363.636       2998.072    
  822.2222       4363.636       3009.915    
  833.3333       4363.636       3010.816    
  844.4444       4363.636       3006.164    
  855.5556       4363.636       2991.747    
  866.6667       4363.636       2990.997    
  877.7778       4363.636       2990.911    
  888.8889       4363.636       2990.826    
  900.0000       4363.636       2991.097    
  911.1111       4363.636       2993.400    
  922.2222       4363.636       3035.033    
  933.3333       4363.636       3049.863    
  944.4444       4363.636       3056.727    
  955.5556       4363.636       3061.536    
  966.6667       4363.636       3069.403    
  977.7778       4363.636       3069.403
  988.8889       4363.636       3075.023    
  1000.000       4363.636       3075.901    
  1011.111       4363.636       3073.686    
  1022.222       4363.636       3072.855    
  1033.333       4363.636       3071.557    
  1044.444       4363.636       3070.859    
  1055.556       4363.636       3071.836    
  1066.667       4363.636       3069.025    
  1077.778       4363.636       3068.234    
  1088.889       4363.636       3067.205    
  1100.000       4363.636       3066.634    
  1111.111       4363.636       3065.596    
  1122.222       4363.636       3064.972    
  1133.333       4363.636       3064.152    
  1144.444       4363.636       3063.068    
  1155.556       4363.636       3062.821    
  1166.667       4363.636       3061.407    
  1177.778       4363.636       3060.463    
  1188.889       4363.636       3059.521    
  1200.000       4363.636       3059.087    
  1211.111       4363.636       3057.475    
  1222.222       4363.636       3057.611    
  1233.333       4363.636       3056.705    
  1244.444       4363.636       3054.863    
  1255.556       4363.636       3053.848    
  1266.667       4363.636       3052.958    
  1277.778       4363.636       3052.267    
  1288.889       4363.636       3051.597    
  1300.000       4363.636       3050.331    
  1311.111       4363.636       3049.648    
  1322.222       4363.636       3048.159    
  1333.333       4363.636       3047.523    
  1344.444       4363.636       3045.706    
  1355.556       4363.636       3045.430    
  1366.667       4363.636       3044.556    
  1377.778       4363.636       3040.608    
  1388.889       4363.636       3037.457    
  1400.000       4363.636       3035.258    
  1411.111       4363.636       3035.167    
  1422.222       4363.636       3032.654    
  1433.333       4363.636       3033.049    
  1444.444       4363.636       3032.252    
  1455.556       4363.636       3031.485    
  1466.667       4363.636       3030.275    
  1477.778       4363.636       3029.539    
  1488.889       4363.636       3028.414    
  1500.000       4363.636       3027.998    
  400.0000       5151.515       3043.623    
  411.1111       5151.515       3043.552    
  422.2222       5151.515       3042.798    
  433.3333       5151.515       3041.888    
  444.4444       5151.515       3039.139    
  455.5556       5151.515       3038.420    
  466.6667       5151.515       3037.741    
  477.7778       5151.515       3038.245    
  488.8889       5151.515       3036.345    
  500.0000       5151.515       3035.476    
  511.1111       5151.515       3034.077    
  522.2222       5151.515       3032.761    
  533.3333       5151.515       3030.708    
  544.4444       5151.515       3030.004    
  555.5556       5151.515       3026.371    
  566.6667       5151.515       3012.287    
  577.7778       5151.515       3027.368    
  588.8889       5151.515       3024.705    
  600.0000       5151.515       3022.874    
  611.1111       5151.515       3022.241    
  622.2222       5151.515       3021.936    
  633.3333       5151.515       3021.637    
  644.4444       5151.515       3020.921    
  655.5556       5151.515       3020.580    
  666.6667       5151.515       3019.306    
  677.7778       5151.515       3018.449    
  688.8889       5151.515       3017.452    
  700.0000       5151.515       3020.397    
  711.1111       5151.515       3026.691    
  722.2222       5151.515       3025.954    
  733.3333       5151.515       3022.305    
  744.4444       5151.515       3023.821    
  755.5556       5151.515       3022.602    
  766.6667       5151.515       3022.372    
  777.7778       5151.515       3022.928    
  788.8889       5151.515       3021.555    
  800.0000       5151.515       3016.717    
