|6.6.6
basalt_sat_allmorb_10302020_3.tab                                                                   
           2
T(K)    
   400.00000000000000     
   11.111111111111111     
         100
P(bar)  
   2000.0000000000000     
   787.87878787878788     
         100
           3
T(K)           P(bar)         H2O,wt%       
  400.0000       2000.000       6.353284    
  411.1111       2000.000       6.349042    
  422.2222       2000.000       6.344012    
  433.3333       2000.000       6.345611    
  444.4444       2000.000       6.341831    
  455.5556       2000.000       6.318618    
  466.6667       2000.000       6.008676    
  477.7778       2000.000       6.005005    
  488.8889       2000.000       5.982137    
  500.0000       2000.000       5.962716    
  511.1111       2000.000       5.747361    
  522.2222       2000.000       4.150443    
  533.3333       2000.000       4.038781    
  544.4444       2000.000       3.868541    
  555.5556       2000.000       3.702254    
  566.6667       2000.000       3.602588    
  577.7778       2000.000       3.404281    
  588.8889       2000.000       3.397409    
  600.0000       2000.000       3.395485    
  611.1111       2000.000       3.391909    
  622.2222       2000.000       3.363405    
  633.3333       2000.000       3.262811    
  644.4444       2000.000       3.194935    
  655.5556       2000.000       3.110397    
  666.6667       2000.000       3.069954    
  677.7778       2000.000       2.796885    
  688.8889       2000.000       2.603227    
  700.0000       2000.000       2.493599    
  711.1111       2000.000       2.453452    
  722.2222       2000.000       2.381538    
  733.3333       2000.000       2.331857    
  744.4444       2000.000       2.317793    
  755.5556       2000.000       2.296228    
  766.6667       2000.000       1.884495    
  777.7778       2000.000       1.882661    
  788.8889       2000.000       1.879848    
  800.0000       2000.000       1.483863    
  811.1111       2000.000       1.478139    
  822.2222       2000.000       1.467069    
  833.3333       2000.000       1.395445    
  844.4444       2000.000       1.375026    
  855.5556       2000.000       1.355555    
  866.6667       2000.000       1.313690    
  877.7778       2000.000       1.000057    
  888.8889       2000.000      0.8405265    
  900.0000       2000.000      0.8213958    
  911.1111       2000.000      0.7857700    
  922.2222       2000.000      0.5014215    
  933.3333       2000.000      0.2741317    
  944.4444       2000.000      0.8764886E-01
  955.5556       2000.000      0.1071411E-01
  966.6667       2000.000       0.000000    
  977.7778       2000.000       0.000000    
  988.8889       2000.000       0.000000    
  1000.000       2000.000       0.000000    
  1011.111       2000.000       0.000000    
  1022.222       2000.000       0.000000    
  1033.333       2000.000       0.000000    
  1044.444       2000.000       0.000000    
  1055.556       2000.000       0.000000    
  1066.667       2000.000       0.000000    
  1077.778       2000.000       0.000000    
  1088.889       2000.000       0.000000    
  1100.000       2000.000       0.000000    
  1111.111       2000.000       0.000000    
  1122.222       2000.000       0.000000    
  1133.333       2000.000       0.000000    
  1144.444       2000.000       0.000000    
  1155.556       2000.000       0.000000    
  1166.667       2000.000       0.000000    
  1177.778       2000.000       0.000000    
  1188.889       2000.000       0.000000    
  1200.000       2000.000       0.000000    
  1211.111       2000.000       0.000000    
  1222.222       2000.000       0.000000    
  1233.333       2000.000       0.000000    
  1244.444       2000.000       0.000000    
  1255.556       2000.000       0.000000    
  1266.667       2000.000       0.000000    
  1277.778       2000.000       0.000000    
