|6.6.6
basalt_sat_yak_hp11ver_10302020_3.tab                                                               
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         H2O,wt%       
  300.0000       1000.000       5.835275    
  313.1313       1000.000       5.840678    
  326.2626       1000.000       5.520427    
  339.3939       1000.000       5.415539    
  352.5253       1000.000       5.281682    
  365.6566       1000.000       5.187414    
  378.7879       1000.000       5.193111    
  391.9192       1000.000       5.185739    
  405.0505       1000.000       5.158578    
  418.1818       1000.000       5.129490    
  431.3131       1000.000       5.128500    
  444.4444       1000.000       5.127603    
  457.5758       1000.000       4.821820    
  470.7071       1000.000       4.445503    
  483.8384       1000.000       4.079128    
  496.9697       1000.000       4.078184    
  510.1010       1000.000       4.076762    
  523.2323       1000.000       4.075631    
  536.3636       1000.000       3.895776    
  549.4949       1000.000       3.800762    
  562.6263       1000.000       3.779447    
  575.7576       1000.000       3.772207    
  588.8889       1000.000       3.741248    
  602.0202       1000.000       3.736380    
  615.1515       1000.000       3.733652    
  628.2828       1000.000       3.730389    
  641.4141       1000.000       3.709603    
  654.5455       1000.000       3.671478    
  667.6768       1000.000       3.632751    
  680.8081       1000.000       3.581579    
  693.9394       1000.000       3.546311    
  707.0707       1000.000       3.498985    
  720.2020       1000.000       3.333483    
  733.3333       1000.000       2.563293    
  746.4646       1000.000       2.557354    
  759.5960       1000.000       2.548910    
  772.7273       1000.000       2.532342    
  785.8586       1000.000       1.742993    
  798.9899       1000.000       1.738251    
  812.1212       1000.000       1.730001    
  825.2525       1000.000       1.730001    
  838.3838       1000.000       1.691674    
  851.5152       1000.000       1.565071    
  864.6465       1000.000       1.434518    
  877.7778       1000.000      0.8833900    
  890.9091       1000.000      0.5267214    
  904.0404       1000.000      0.5230916    
  917.1717       1000.000      0.4767122    
  930.3030       1000.000      0.2197031    
  943.4343       1000.000      0.2143450    
  956.5657       1000.000      0.2004263    
  969.6970       1000.000      0.1964761    
  982.8283       1000.000      0.1886181    
  995.9596       1000.000      0.1738304    
  1009.091       1000.000      0.1605501    
  1022.222       1000.000      0.1401200    
  1035.354       1000.000      0.9448372E-01
  1048.485       1000.000      0.9195665E-01
  1061.616       1000.000      0.5193709E-01
  1074.747       1000.000      0.2905019E-01
  1087.879       1000.000       0.000000    
  1101.010       1000.000       0.000000    
  1114.141       1000.000       0.000000    
  1127.273       1000.000       0.000000    
  1140.404       1000.000       0.000000    
  1153.535       1000.000       0.000000    
  1166.667       1000.000       0.000000    
  1179.798       1000.000       0.000000    
  1192.929       1000.000       0.000000    
  1206.061       1000.000       0.000000    
  1219.192       1000.000       0.000000    
  1232.323       1000.000       0.000000    
  1245.455       1000.000       0.000000    
  1258.586       1000.000       0.000000    
  1271.717       1000.000       0.000000    
  1284.848       1000.000       0.000000    
  1297.980       1000.000       0.000000    
  1311.111       1000.000       0.000000    
  1324.242       1000.000       0.000000    
  1337.374       1000.000       0.000000    
  1350.505       1000.000       0.000000    
  1363.636       1000.000       0.000000    
  1376.768       1000.000       0.000000    
  1389.899       1000.000       0.000000    
  1403.030       1000.000       0.000000    
  1416.162       1000.000       0.000000    
  1429.293       1000.000       0.000000    
  1442.424       1000.000       0.000000    
  1455.556       1000.000       0.000000    
  1468.687       1000.000       0.000000    
  1481.818       1000.000       0.000000    
  1494.949       1000.000       0.000000    
  1508.081       1000.000       0.000000    
  1521.212       1000.000       0.000000    
  1534.343       1000.000       0.000000    
  1547.475       1000.000       0.000000    
  1560.606       1000.000       0.000000    
  1573.737       1000.000       0.000000    
  1586.869       1000.000       0.000000    
  1600.000       1000.000       0.000000    
  300.0000       1898.990       6.771667    
  313.1313       1898.990       5.730435    
  326.2626       1898.990       5.725749    
  339.3939       1898.990       5.728990    
  352.5253       1898.990       5.316674    
  365.6566       1898.990       5.302663    
  378.7879       1898.990       5.278464    
  391.9192       1898.990       5.192424    
  405.0505       1898.990       5.192888    
  418.1818       1898.990       5.203090    
  431.3131       1898.990       5.172156    
  444.4444       1898.990       5.057252    
  457.5758       1898.990       4.753590    
