|6.6.6
contcrust_091219_4.tab                                                                              
           2
T(K)    
   273.14999999999998     
   16.160101010101009     
         100
P(bar)  
   1.0000000000000000     
   1010.0909090909091     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  273.1500       1.000000       2838.360    
  289.3101       1.000000       2837.707    
  305.4702       1.000000       2856.198    
  321.6303       1.000000       2861.090    
  337.7904       1.000000       2864.159    
  353.9505       1.000000       2833.936    
  370.1106       1.000000       2815.424    
  386.2707       1.000000       2811.757    
  402.4308       1.000000       2809.673    
  418.5909       1.000000       2809.418    
  434.7510       1.000000       2803.878    
  450.9111       1.000000       2868.739    
  467.0712       1.000000       2867.854    
  483.2313       1.000000       2859.093    
  499.3914       1.000000       2854.455    
  515.5515       1.000000       2849.888    
  531.7116       1.000000       2849.085    
  547.8717       1.000000       2847.194    
  564.0318       1.000000       2841.043    
  580.1919       1.000000       2852.364    
  596.3520       1.000000       2818.442    
  612.5121       1.000000       2799.781    
  628.6722       1.000000       2801.304    
  644.8323       1.000000       2791.494    
  660.9924       1.000000       2781.232    
  677.1525       1.000000       2780.649    
  693.3126       1.000000       2778.537    
  709.4727       1.000000       2779.079    
  725.6328       1.000000       2779.272    
  741.7929       1.000000       2778.158    
  757.9530       1.000000       2777.931    
  774.1131       1.000000       2776.613    
  790.2732       1.000000       2773.495    
  806.4333       1.000000       2770.456    
  822.5934       1.000000       2767.495    
  838.7535       1.000000       2764.160    
  854.9136       1.000000       2758.530    
  871.0737       1.000000       2757.301    
  887.2338       1.000000       2755.082    
  903.3939       1.000000       2753.778    
  919.5540       1.000000       2752.362    
  935.7141       1.000000       2750.968    
  951.8742       1.000000       2749.721    
  968.0343       1.000000       2748.453    
  984.1944       1.000000       2747.277    
  1000.355       1.000000       2745.979    
  1016.515       1.000000       2744.860    
  1032.675       1.000000       2743.682    
  1048.835       1.000000       2742.563    
  1064.995       1.000000       2741.462    
  1081.155       1.000000       2740.142    
  1097.315       1.000000       2739.107    
  1113.475       1.000000       2738.212    
  1129.635       1.000000       2736.838    
  1145.795       1.000000       2735.938    
  1161.956       1.000000       2734.544    
  1178.116       1.000000       2733.360    
  1194.276       1.000000       2732.047    
  1210.436       1.000000       2730.988    
  1226.596       1.000000       2729.948    
  1242.756       1.000000       2728.797    
  1258.916       1.000000       2727.779    
  1275.076       1.000000       2726.665    
  1291.236       1.000000       2725.745    
  1307.396       1.000000       2656.918    
  1323.557       1.000000       2656.064    
  1339.717       1.000000       2654.941    
  1355.877       1.000000       2653.835    
  1372.037       1.000000       2652.804    
  1388.197       1.000000       2648.493    
  1404.357       1.000000       2647.242    
  1420.517       1.000000       2646.388    
  1436.677       1.000000       2645.025    
  1452.837       1.000000       2644.114    
  1468.997       1.000000       2643.169    
  1485.158       1.000000       2632.898    
  1501.318       1.000000       2630.857    
  1517.478       1.000000       2629.469    
  1533.638       1.000000       2627.982    
  1549.798       1.000000       2626.700    
  1565.958       1.000000       2625.347    
  1582.118       1.000000       2624.516    
  1598.278       1.000000       2622.465    
  1614.438       1.000000       2617.508    
  1630.598       1.000000       2614.791    
  1646.759       1.000000       2575.624    
  1662.919       1.000000       2572.620    
  1679.079       1.000000       2573.726    
  1695.239       1.000000       2571.069    
  1711.399       1.000000       2568.394    
  1727.559       1.000000       2566.247    
  1743.719       1.000000       2563.955    
  1759.879       1.000000       2561.769    
  1776.039       1.000000       2560.022    
  1792.199       1.000000       2529.971    
  1808.360       1.000000       2528.041    
  1824.520       1.000000       2526.440    
  1840.680       1.000000       2500.482    
  1856.840       1.000000       2498.706    
  1873.000       1.000000       2496.741    
  273.1500       1011.091       2842.852    
  289.3101       1011.091       2847.399    
  305.4702       1011.091       2857.239    
  321.6303       1011.091       2867.138    
  337.7904       1011.091       2868.695    
  353.9505       1011.091       2867.906    
  370.1106       1011.091       2866.977    
  386.2707       1011.091       2842.550    
  402.4308       1011.091       2822.871    
  418.5909       1011.091       2883.049    
  434.7510       1011.091       2881.398    
  450.9111       1011.091       2880.194    
  467.0712       1011.091       2876.600    
  483.2313       1011.091       2873.123    
  499.3914       1011.091       2877.499    
  515.5515       1011.091       2868.803    
  531.7116       1011.091       2862.237    
  547.8717       1011.091       2866.289    
  564.0318       1011.091       2861.763    
  580.1919       1011.091       2851.246    
  596.3520       1011.091       2859.457    
  612.5121       1011.091       2853.013    
  628.6722       1011.091       2845.928    
  644.8323       1011.091       2858.767    
  660.9924       1011.091       2852.851    
  677.1525       1011.091       2854.401    
  693.3126       1011.091       2843.726    
  709.4727       1011.091       2850.214    
  725.6328       1011.091       2849.468    
  741.7929       1011.091       2843.982    
  757.9530       1011.091       2836.935    
  774.1131       1011.091       2828.062    
  790.2732       1011.091       2819.415    
  806.4333       1011.091       2811.966    
  822.5934       1011.091       2806.817    
  838.7535       1011.091       2799.968    
  854.9136       1011.091       2792.313    
  871.0737       1011.091       2783.461    
  887.2338       1011.091       2777.502    
  903.3939       1011.091       2771.745    
  919.5540       1011.091       2782.319    
  935.7141       1011.091       2778.404    
  951.8742       1011.091       2774.717    
  968.0343       1011.091       2769.498    
  984.1944       1011.091       2768.274    
  1000.355       1011.091       2764.272    
  1016.515       1011.091       2771.593    
  1032.675       1011.091       2765.212    
  1048.835       1011.091       2769.909    
  1064.995       1011.091       2766.954    
  1081.155       1011.091       2763.646    
  1097.315       1011.091       2762.958    
  1113.475       1011.091       2753.347    
  1129.635       1011.091       2759.798    
  1145.795       1011.091       2760.911    
  1161.956       1011.091       2758.235    
  1178.116       1011.091       2743.509    
  1194.276       1011.091       2741.613    
  1210.436       1011.091       2740.069    
  1226.596       1011.091       2739.142    
  1242.756       1011.091       2737.534    
  1258.916       1011.091       2736.535    
  1275.076       1011.091       2738.664    
  1291.236       1011.091       2743.405    
  1307.396       1011.091       2740.307    
  1323.557       1011.091       2730.524    
  1339.717       1011.091       2729.413    
  1355.877       1011.091       2734.777    
  1372.037       1011.091       2728.692    
  1388.197       1011.091       2731.472    
  1404.357       1011.091       2725.453    
  1420.517       1011.091       2725.900    
  1436.677       1011.091       2719.289    
  1452.837       1011.091       2721.038    
  1468.997       1011.091       2716.933    
  1485.158       1011.091       2716.307    
  1501.318       1011.091       2707.221    
  1517.478       1011.091       2707.599    
  1533.638       1011.091       2701.712    
  1549.798       1011.091       2699.974    
  1565.958       1011.091       2699.219    
  1582.118       1011.091       2697.493    
  1598.278       1011.091       2695.499    
  1614.438       1011.091       2694.120    
  1630.598       1011.091       2640.201    
  1646.759       1011.091       2635.776    
  1662.919       1011.091       2597.312    
  1679.079       1011.091       2584.377    
  1695.239       1011.091       2581.850    
  1711.399       1011.091       2579.168    
  1727.559       1011.091       2576.552    
  1743.719       1011.091       2574.274    
  1759.879       1011.091       2571.981    
  1776.039       1011.091       2570.043    
  1792.199       1011.091       2568.133    
  1808.360       1011.091       2537.586    
  1824.520       1011.091       2535.668    
  1840.680       1011.091       2533.926    
  1856.840       1011.091       2508.689    
  1873.000       1011.091       2506.752    
  273.1500       2021.182       2969.707    
  289.3101       2021.182       2854.893    
  305.4702       2021.182       2864.814    
  321.6303       2021.182       2874.032    
  337.7904       2021.182       2873.390    
  353.9505       2021.182       2871.657    
  370.1106       2021.182       2870.609    
  386.2707       2021.182       2869.821    
  402.4308       2021.182       2952.868    
  418.5909       2021.182       2951.740    
  434.7510       2021.182       2930.749    
  450.9111       2021.182       2920.404    
  467.0712       2021.182       2909.516    
  483.2313       2021.182       2895.045    
  499.3914       2021.182       2883.736    
  515.5515       2021.182       2881.118    
  531.7116       2021.182       2877.769    
  547.8717       2021.182       2874.882    
  564.0318       2021.182       2872.405    
  580.1919       2021.182       2870.597    
  596.3520       2021.182       2878.218    
  612.5121       2021.182       2868.076    
  628.6722       2021.182       2861.635    
  644.8323       2021.182       2860.102    
  660.9924       2021.182       2867.269    
  677.1525       2021.182       2859.286    
  693.3126       2021.182       2856.210    
  709.4727       2021.182       2849.297    
  725.6328       2021.182       2852.680    
  741.7929       2021.182       2854.771    
  757.9530       2021.182       2844.620    
  774.1131       2021.182       2848.995    
  790.2732       2021.182       2842.006    
  806.4333       2021.182       2845.564    
  822.5934       2021.182       2837.792    
  838.7535       2021.182       2841.422    
  854.9136       2021.182       2839.450    
  871.0737       2021.182       2836.342    
  887.2338       2021.182       2833.505    
  903.3939       2021.182       2821.815    
  919.5540       2021.182       2816.279    
  935.7141       2021.182       2810.055    
  951.8742       2021.182       2810.314    
  968.0343       2021.182       2800.553    
  984.1944       2021.182       2805.210    
  1000.355       2021.182       2791.947    
  1016.515       2021.182       2799.183    
  1032.675       2021.182       2784.677    
  1048.835       2021.182       2794.497    
  1064.995       2021.182       2794.638    
  1081.155       2021.182       2786.432    
  1097.315       2021.182       2789.068    
  1113.475       2021.182       2788.511    
  1129.635       2021.182       2768.727    
  1145.795       2021.182       2785.093    
  1161.956       2021.182       2762.616    
  1178.116       2021.182       2761.348    
  1194.276       2021.182       2759.038    
  1210.436       2021.182       2757.619    
  1226.596       2021.182       2755.629    
  1242.756       2021.182       2754.070    
  1258.916       2021.182       2752.115    
  1275.076       2021.182       2750.460    
  1291.236       2021.182       2752.958    
  1307.396       2021.182       2765.521    
  1323.557       2021.182       2761.133    
  1339.717       2021.182       2744.574    
  1355.877       2021.182       2756.441    
  1372.037       2021.182       2748.568    
  1388.197       2021.182       2743.604    
  1404.357       2021.182       2741.582    
  1420.517       2021.182       2744.260    
  1436.677       2021.182       2744.108    
  1452.837       2021.182       2735.385    
  1468.997       2021.182       2739.201    
  1485.158       2021.182       2727.071    
  1501.318       2021.182       2729.226    
  1517.478       2021.182       2726.502    
  1533.638       2021.182       2716.421    
  1549.798       2021.182       2705.609    
  1565.958       2021.182       2717.121    
  1582.118       2021.182       2717.467    
  1598.278       2021.182       2704.077    
  1614.438       2021.182       2705.471    
  1630.598       2021.182       2699.082    
  1646.759       2021.182       2693.022    
  1662.919       2021.182       2688.632    
  1679.079       2021.182       2649.967    
  1695.239       2021.182       2591.937    
  1711.399       2021.182       2589.124    
  1727.559       2021.182       2587.302    
  1743.719       2021.182       2585.496    
  1759.879       2021.182       2580.652    
  1776.039       2021.182       2580.250    
  1792.199       2021.182       2578.101    
  1808.360       2021.182       2547.200    
  1824.520       2021.182       2545.274    
  1840.680       2021.182       2543.207    
  1856.840       2021.182       2518.853    
  1873.000       2021.182       2516.653    
  273.1500       3031.273       2973.709    
