|6.6.6
gabbro_0h2o_11112020_2.tab                                                                          
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  300.0000       1000.000       3184.622    
  313.1313       1000.000       3184.705    
  326.2626       1000.000       3185.645    
  339.3939       1000.000       3180.337    
  352.5253       1000.000       3178.623    
  365.6566       1000.000       3176.940    
  378.7879       1000.000       3174.491    
  391.9192       1000.000       3177.112    
  405.0505       1000.000       3171.812    
  418.1818       1000.000       3172.219    
  431.3131       1000.000       3177.145    
  444.4444       1000.000       3037.934    
  457.5758       1000.000       2991.107    
  470.7071       1000.000       2986.980    
  483.8384       1000.000       2985.698    
  496.9697       1000.000       2985.894    
  510.1010       1000.000       2985.958    
  523.2323       1000.000       2985.377    
  536.3636       1000.000       2957.067    
  549.4949       1000.000       2955.481    
  562.6263       1000.000       2953.928    
  575.7576       1000.000       2953.099    
  588.8889       1000.000       2951.732    
  602.0202       1000.000       2951.245    
  615.1515       1000.000       2950.367    
  628.2828       1000.000       2950.643    
  641.4141       1000.000       2947.208    
  654.5455       1000.000       2944.702    
  667.6768       1000.000       2947.248    
  680.8081       1000.000       2945.054    
  693.9394       1000.000       2947.983    
  707.0707       1000.000       2942.828    
  720.2020       1000.000       2939.711    
  733.3333       1000.000       2938.940    
  746.4646       1000.000       2937.865    
  759.5960       1000.000       2937.088    
  772.7273       1000.000       2936.006    
  785.8586       1000.000       2935.158    
  798.9899       1000.000       2934.367    
  812.1212       1000.000       2933.274    
  825.2525       1000.000       2932.423    
  838.3838       1000.000       2931.323    
  851.5152       1000.000       2930.487    
  864.6465       1000.000       2929.610    
  877.7778       1000.000       2932.249    
  890.9091       1000.000       2927.468    
  904.0404       1000.000       2925.488    
  917.1717       1000.000       2925.796    
  930.3030       1000.000       2923.802    
  943.4343       1000.000       2923.332    
  956.5657       1000.000       2922.269    
  969.6970       1000.000       2920.933    
  982.8283       1000.000       2920.355    
  995.9596       1000.000       2919.353    
  1009.091       1000.000       2918.714    
  1022.222       1000.000       2917.722    
  1035.354       1000.000       2916.322    
  1048.485       1000.000       2915.698    
  1061.616       1000.000       2914.738    
  1074.747       1000.000       2914.036    
  1087.879       1000.000       2913.063    
  1101.010       1000.000       2911.605    
  1114.141       1000.000       2910.921    
  1127.273       1000.000       2910.203    
  1140.404       1000.000       2909.222    
  1153.535       1000.000       2908.272    
  1166.667       1000.000       2906.819    
  1179.798       1000.000       2906.207    
  1192.929       1000.000       2905.312    
  1206.061       1000.000       2904.746    
  1219.192       1000.000       2903.500    
  1232.323       1000.000       2902.485    
  1245.455       1000.000       2902.013    
  1258.586       1000.000       2900.931    
  1271.717       1000.000       2899.868    
  1284.848       1000.000       2897.671    
  1297.980       1000.000       2896.824    
  1311.111       1000.000       2895.610    
  1324.242       1000.000       2895.197    
  1337.374       1000.000       2893.744    
  1350.505       1000.000       2892.676    
  1363.636       1000.000       2891.717    
  1376.768       1000.000       2890.235    
  1389.899       1000.000       2889.098    
  1403.030       1000.000       2889.094    
  1416.162       1000.000       2886.540    
  1429.293       1000.000       2886.798    
  1442.424       1000.000       2885.679    
  1455.556       1000.000       2883.585    
  1468.687       1000.000       2882.638    
  1481.818       1000.000       2881.392    
  1494.949       1000.000       2880.777    
  1508.081       1000.000       2879.581    
  1521.212       1000.000       2877.821    
  1534.343       1000.000       2878.039    
  1547.475       1000.000       2875.997    
  1560.606       1000.000       2875.126    
  1573.737       1000.000       2874.341    
  1586.869       1000.000       2873.326    
  1600.000       1000.000       2867.927    
  300.0000       1898.990       3225.788    
  313.1313       1898.990       3224.748    
  326.2626       1898.990       3223.088    
  339.3939       1898.990       3225.485    
  352.5253       1898.990       3189.488    
  365.6566       1898.990       3192.414    
  378.7879       1898.990       3183.013    
  391.9192       1898.990       3187.703    
  405.0505       1898.990       3189.845    
  418.1818       1898.990       3183.031    
  431.3131       1898.990       3180.821    
  444.4444       1898.990       3175.657    
  457.5758       1898.990       3173.483    
  470.7071       1898.990       3178.926    
  483.8384       1898.990       3172.829    
  496.9697       1898.990       3097.985    
  510.1010       1898.990       3014.077    
  523.2323       1898.990       2991.981    
  536.3636       1898.990       2991.421    
  549.4949       1898.990       2990.381    
  562.6263       1898.990       2989.530    
  575.7576       1898.990       2989.395    
  588.8889       1898.990       2966.200    
  602.0202       1898.990       2963.015    
  615.1515       1898.990       2961.862    
  628.2828       1898.990       2959.206    
  641.4141       1898.990       2958.796    
  654.5455       1898.990       2954.576    
  667.6768       1898.990       2955.355    
  680.8081       1898.990       2956.968    
  693.9394       1898.990       2953.859    
  707.0707       1898.990       2954.840    
  720.2020       1898.990       2953.013    
  733.3333       1898.990       2951.961    
  746.4646       1898.990       2950.880    
  759.5960       1898.990       2949.882    
  772.7273       1898.990       2948.794    
  785.8586       1898.990       2947.711    
  798.9899       1898.990       2946.631    
  812.1212       1898.990       2945.534    
  825.2525       1898.990       2944.500    
  838.3838       1898.990       2943.396    
  851.5152       1898.990       2942.329    
  864.6465       1898.990       2941.272    
  877.7778       1898.990       2935.842    
  890.9091       1898.990       2935.791    
  904.0404       1898.990       2935.485    
  917.1717       1898.990       2933.589    
  930.3030       1898.990       2932.717    
  943.4343       1898.990       2932.652    
  956.5657       1898.990       2931.399    
  969.6970       1898.990       2929.150    
  982.8283       1898.990       2928.446    
  995.9596       1898.990       2927.553    
  1009.091       1898.990       2927.811    
  1022.222       1898.990       2926.624    
  1035.354       1898.990       2924.711    
  1048.485       1898.990       2923.576    
  1061.616       1898.990       2922.526    
  1074.747       1898.990       2922.939    
  1087.879       1898.990       2921.765    
  1101.010       1898.990       2919.402    
  1114.141       1898.990       2918.500    
  1127.273       1898.990       2917.477    
  1140.404       1898.990       2917.989    
  1153.535       1898.990       2916.845    
  1166.667       1898.990       2914.635    
  1179.798       1898.990       2913.719    
  1192.929       1898.990       2912.654    
  1206.061       1898.990       2913.133    
  1219.192       1898.990       2911.887    
  1232.323       1898.990       2909.794    
  1245.455       1898.990       2908.512    
  1258.586       1898.990       2906.801    
  1271.717       1898.990       2906.025    
  1284.848       1898.990       2906.745    
  1297.980       1898.990       2904.199    
  1311.111       1898.990       2903.830    
  1324.242       1898.990       2902.482    
  1337.374       1898.990       2902.759    
  1350.505       1898.990       2901.531    
  1363.636       1898.990       2900.634    
  1376.768       1898.990       2899.142    
  1389.899       1898.990       2896.753    
  1403.030       1898.990       2895.910    
  1416.162       1898.990       2894.564    
  1429.293       1898.990       2893.685    
  1442.424       1898.990       2893.094    
  1455.556       1898.990       2891.010    
  1468.687       1898.990       2890.200    
  1481.818       1898.990       2890.003    
  1494.949       1898.990       2889.224    
  1508.081       1898.990       2888.013    
  1521.212       1898.990       2886.526    
  1534.343       1898.990       2884.672    
  1547.475       1898.990       2884.378    
  1560.606       1898.990       2883.524    
  1573.737       1898.990       2882.307    
  1586.869       1898.990       2880.104    
  1600.000       1898.990       2879.129    
  300.0000       2797.980       3242.192    
  313.1313       2797.980       3237.756    
  326.2626       2797.980       3237.381    
  339.3939       2797.980       3235.483    
  352.5253       2797.980       3232.730    
  365.6566       2797.980       3232.482    
  378.7879       2797.980       3224.111    
  391.9192       2797.980       3220.349    
  405.0505       2797.980       3216.228    
  418.1818       2797.980       3183.604    
  431.3131       2797.980       3190.217    
  444.4444       2797.980       3188.263    
  457.5758       2797.980       3181.744    
