|6.6.6
gabbro_sat_11112020_2.tab                                                                           
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  300.0000       1000.000       2791.939    
  313.1313       1000.000       2791.302    
  326.2626       1000.000       2790.357    
  339.3939       1000.000       2788.091    
  352.5253       1000.000       2787.145    
  365.6566       1000.000       2786.219    
  378.7879       1000.000       2785.656    
  391.9192       1000.000       2784.934    
  405.0505       1000.000       2783.806    
  418.1818       1000.000       2783.019    
  431.3131       1000.000       2784.850    
  444.4444       1000.000       2782.573    
  457.5758       1000.000       2786.834    
  470.7071       1000.000       2786.911    
  483.8384       1000.000       2784.780    
  496.9697       1000.000       2785.017    
  510.1010       1000.000       2784.327    
  523.2323       1000.000       2852.623    
  536.3636       1000.000       2858.069    
  549.4949       1000.000       2861.011    
  562.6263       1000.000       2870.593    
  575.7576       1000.000       2879.197    
  588.8889       1000.000       2893.495    
  602.0202       1000.000       2948.374    
  615.1515       1000.000       2948.001    
  628.2828       1000.000       2946.938    
  641.4141       1000.000       2945.002    
  654.5455       1000.000       2944.013    
  667.6768       1000.000       2943.399    
  680.8081       1000.000       2879.895    
  693.9394       1000.000       2867.845    
  707.0707       1000.000       2864.275    
  720.2020       1000.000       2862.190    
  733.3333       1000.000       2861.141    
  746.4646       1000.000       2860.065    
  759.5960       1000.000       2860.172    
  772.7273       1000.000       2859.111    
  785.8586       1000.000       2859.523    
  798.9899       1000.000       2865.307    
  812.1212       1000.000       2866.036    
  825.2525       1000.000       2864.949    
  838.3838       1000.000       2865.710    
  851.5152       1000.000       2866.249    
  864.6465       1000.000       2867.256    
  877.7778       1000.000       2878.233    
  890.9091       1000.000       2881.134    
  904.0404       1000.000       2880.852    
  917.1717       1000.000       2878.912    
  930.3030       1000.000       2892.151    
  943.4343       1000.000       2904.631    
  956.5657       1000.000       2919.004    
  969.6970       1000.000       2922.078    
  982.8283       1000.000       2920.106    
  995.9596       1000.000       2919.353    
  1009.091       1000.000       2919.446    
  1022.222       1000.000       2917.713    
  1035.354       1000.000       2916.323    
  1048.485       1000.000       2915.697    
  1061.616       1000.000       2914.737    
  1074.747       1000.000       2914.036    
  1087.879       1000.000       2913.060    
  1101.010       1000.000       2911.599    
  1114.141       1000.000       2910.906    
  1127.273       1000.000       2910.193    
  1140.404       1000.000       2909.222    
  1153.535       1000.000       2908.274    
  1166.667       1000.000       2906.775    
  1179.798       1000.000       2906.000    
  1192.929       1000.000       2905.308    
  1206.061       1000.000       2904.458    
  1219.192       1000.000       2903.418    
  1232.323       1000.000       2902.174    
  1245.455       1000.000       2901.986    
  1258.586       1000.000       2899.356    
  1271.717       1000.000       2898.801    
  1284.848       1000.000       2898.617    
  1297.980       1000.000       2896.834    
  1311.111       1000.000       2895.637    
  1324.242       1000.000       2895.165    
  1337.374       1000.000       2893.786    
  1350.505       1000.000       2892.583    
  1363.636       1000.000       2891.697    
  1376.768       1000.000       2890.359    
  1389.899       1000.000       2889.075    
  1403.030       1000.000       2889.092    
  1416.162       1000.000       2886.497    
  1429.293       1000.000       2886.797    
  1442.424       1000.000       2885.014    
  1455.556       1000.000       2883.664    
  1468.687       1000.000       2882.681    
  1481.818       1000.000       2881.464    
  1494.949       1000.000       2880.748    
  1508.081       1000.000       2879.601    
  1521.212       1000.000       2877.847    
  1534.343       1000.000       2878.008    
  1547.475       1000.000       2876.022    
  1560.606       1000.000       2875.127    
  1573.737       1000.000       2874.334    
  1586.869       1000.000       2873.342    
  1600.000       1000.000       2867.927    
  300.0000       1898.990       2852.441    
  313.1313       1898.990       2891.917    
  326.2626       1898.990       2890.842    
  339.3939       1898.990       2889.382    
  352.5253       1898.990       2888.982    
  365.6566       1898.990       2886.046    
  378.7879       1898.990       2885.606    
  391.9192       1898.990       2809.164    
  405.0505       1898.990       2786.520    
  418.1818       1898.990       2785.792    
  431.3131       1898.990       2785.531    
  444.4444       1898.990       2786.049    
  457.5758       1898.990       2783.995    
  470.7071       1898.990       2790.952    
  483.8384       1898.990       2791.298    
  496.9697       1898.990       2789.150    
  510.1010       1898.990       2787.402    
  523.2323       1898.990       2856.755    
  536.3636       1898.990       2878.151    
  549.4949       1898.990       2862.744    
  562.6263       1898.990       2880.688    
  575.7576       1898.990       2912.770    
  588.8889       1898.990       2937.961    
  602.0202       1898.990       2944.365    
  615.1515       1898.990       2943.247    
  628.2828       1898.990       2946.203    
  641.4141       1898.990       2949.854    
  654.5455       1898.990       2948.072    
  667.6768       1898.990       2948.043    
  680.8081       1898.990       2946.194    
  693.9394       1898.990       2945.567    
  707.0707       1898.990       2888.929    
  720.2020       1898.990       2865.610    
  733.3333       1898.990       2864.765    
  746.4646       1898.990       2865.375    
  759.5960       1898.990       2865.488    
  772.7273       1898.990       2864.430    
  785.8586       1898.990       2864.639    
  798.9899       1898.990       2863.359    
  812.1212       1898.990       2867.533    
  825.2525       1898.990       2868.624    
  838.3838       1898.990       2869.395    
  851.5152       1898.990       2868.305    
  864.6465       1898.990       2869.477    
  877.7778       1898.990       2870.648    
  890.9091       1898.990       2871.634    
  904.0404       1898.990       2878.069    
  917.1717       1898.990       2884.099    
  930.3030       1898.990       2891.379    
  943.4343       1898.990       2900.204    
  956.5657       1898.990       2912.137    
  969.6970       1898.990       2927.252    
  982.8283       1898.990       2928.204    
  995.9596       1898.990       2927.630    
  1009.091       1898.990       2927.845    
  1022.222       1898.990       2926.633    
  1035.354       1898.990       2924.716    
  1048.485       1898.990       2923.582    
  1061.616       1898.990       2922.522    
  1074.747       1898.990       2922.952    
  1087.879       1898.990       2921.765    
  1101.010       1898.990       2919.391    
  1114.141       1898.990       2918.491    
  1127.273       1898.990       2917.759    
  1140.404       1898.990       2917.987    
  1153.535       1898.990       2916.848    
  1166.667       1898.990       2914.643    
  1179.798       1898.990       2913.720    
  1192.929       1898.990       2912.656    
  1206.061       1898.990       2913.044    
  1219.192       1898.990       2911.861    
  1232.323       1898.990       2909.640    
  1245.455       1898.990       2908.600    
  1258.586       1898.990       2906.997    
  1271.717       1898.990       2906.329    
  1284.848       1898.990       2906.532    
  1297.980       1898.990       2904.157    
  1311.111       1898.990       2903.942    
  1324.242       1898.990       2901.933    
  1337.374       1898.990       2902.733    
  1350.505       1898.990       2901.334    
  1363.636       1898.990       2900.386    
  1376.768       1898.990       2899.177    
  1389.899       1898.990       2896.585    
  1403.030       1898.990       2895.809    
  1416.162       1898.990       2894.545    
  1429.293       1898.990       2893.756    
  1442.424       1898.990       2893.097    
  1455.556       1898.990       2891.020    
  1468.687       1898.990       2890.199    
  1481.818       1898.990       2888.511    
  1494.949       1898.990       2889.242    
  1508.081       1898.990       2888.054    
  1521.212       1898.990       2886.549    
  1534.343       1898.990       2884.668    
  1547.475       1898.990       2884.347    
  1560.606       1898.990       2883.533    
  1573.737       1898.990       2882.311    
  1586.869       1898.990       2880.103    
  1600.000       1898.990       2879.126    
  300.0000       2797.980       2855.029    
  313.1313       2797.980       2894.237    
  326.2626       2797.980       2892.998    
  339.3939       2797.980       2892.944    
  352.5253       2797.980       2890.211    
  365.6566       2797.980       2965.761    
  378.7879       2797.980       2964.683    
  391.9192       2797.980       2963.593    
  405.0505       2797.980       2962.501    
  418.1818       2797.980       2885.354    
  431.3131       2797.980       2883.028    
  444.4444       2797.980       2883.022    
  457.5758       2797.980       2873.414    
  470.7071       2797.980       2786.110    
  483.8384       2797.980       2794.566    
  496.9697       2797.980       2792.170    
  510.1010       2797.980       2791.274    
  523.2323       2797.980       2863.836    
  536.3636       2797.980       2873.149    
  549.4949       2797.980       2885.698    
  562.6263       2797.980       2875.942    
  575.7576       2797.980       2927.467    
  588.8889       2797.980       2954.853    
  602.0202       2797.980       2949.125    
  615.1515       2797.980       2947.632    
  628.2828       2797.980       2947.386    
  641.4141       2797.980       2945.815    
  654.5455       2797.980       2945.254    
  667.6768       2797.980       2949.063    
  680.8081       2797.980       2949.895    
  693.9394       2797.980       2948.749    
  707.0707       2797.980       2947.410    
  720.2020       2797.980       2934.232    
  733.3333       2797.980       2886.159    
  746.4646       2797.980       2869.578    
  759.5960       2797.980       2869.140    
  772.7273       2797.980       2869.713    
  785.8586       2797.980       2867.524    
  798.9899       2797.980       2867.948    
  812.1212       2797.980       2869.155    
  825.2525       2797.980       2867.572    
  838.3838       2797.980       2873.047    
  851.5152       2797.980       2873.011    
  864.6465       2797.980       2873.983    
  877.7778       2797.980       2873.115    
  890.9091       2797.980       2874.894    
  904.0404       2797.980       2875.045    
  917.1717       2797.980       2875.348    
  930.3030       2797.980       2885.138    
  943.4343       2797.980       2900.598    
  956.5657       2797.980       2906.749    
  969.6970       2797.980       2918.564    
  982.8283       2797.980       2937.842    
  995.9596       2797.980       2935.698    
  1009.091       2797.980       2934.439    
  1022.222       2797.980       2933.553    
  1035.354       2797.980       2932.007    
  1048.485       2797.980       2931.312    
  1061.616       2797.980       2930.901    
  1074.747       2797.980       2929.820    
  1087.879       2797.980       2927.864    
  1101.010       2797.980       2926.672    
  1114.141       2797.980       2926.158    
  1127.273       2797.980       2925.102    
  1140.404       2797.980       2924.719    
  1153.535       2797.980       2922.857    
  1166.667       2797.980       2921.201    
  1179.798       2797.980       2921.439    
  1192.929       2797.980       2919.973    
  1206.061       2797.980       2919.569    
  1219.192       2797.980       2917.734    
  1232.323       2797.980       2916.902    
  1245.455       2797.980       2915.391    
  1258.586       2797.980       2914.150    
  1271.717       2797.980       2913.712    
  1284.848       2797.980       2913.252    
  1297.980       2797.980       2910.911    
  1311.111       2797.980       2911.651    
