|6.6.6
gabbro_sat_11112020_3.tab                                                                           
           2
T(K)    
   300.00000000000000     
   13.131313131313131     
         100
P(bar)  
   1000.0000000000000     
   898.98989898989896     
         100
           3
T(K)           P(bar)         H2O,wt%       
  300.0000       1000.000       5.853229    
  313.1313       1000.000       5.834297    
  326.2626       1000.000       5.820146    
  339.3939       1000.000       5.814191    
  352.5253       1000.000       5.803171    
  365.6566       1000.000       5.795065    
  378.7879       1000.000       5.772782    
  391.9192       1000.000       5.767892    
  405.0505       1000.000       5.765770    
  418.1818       1000.000       5.760013    
  431.3131       1000.000       5.666071    
  444.4444       1000.000       5.564832    
  457.5758       1000.000       5.228461    
  470.7071       1000.000       5.220676    
  483.8384       1000.000       5.215751    
  496.9697       1000.000       5.205300    
  510.1010       1000.000       5.199390    
  523.2323       1000.000       4.032348    
  536.3636       1000.000       3.949117    
  549.4949       1000.000       3.862468    
  562.6263       1000.000       3.734999    
  575.7576       1000.000       3.609272    
  588.8889       1000.000       3.417784    
  602.0202       1000.000       2.463304    
  615.1515       1000.000       2.452893    
  628.2828       1000.000       2.440320    
  641.4141       1000.000       2.428364    
  654.5455       1000.000       2.417846    
  667.6768       1000.000       2.407461    
  680.8081       1000.000       1.963371    
  693.9394       1000.000       1.841323    
  707.0707       1000.000       1.778318    
  720.2020       1000.000       1.765588    
  733.3333       1000.000       1.765588    
  746.4646       1000.000       1.763746    
  759.5960       1000.000       1.755450    
  772.7273       1000.000       1.755450    
  785.8586       1000.000       1.742405    
  798.9899       1000.000       1.556694    
  812.1212       1000.000       1.543161    
  825.2525       1000.000       1.543161    
  838.3838       1000.000       1.521240    
  851.5152       1000.000       1.422986    
  864.6465       1000.000       1.357224    
  877.7778       1000.000      0.7699029    
  890.9091       1000.000      0.5287234    
  904.0404       1000.000      0.4996811    
  917.1717       1000.000      0.4751458    
  930.3030       1000.000      0.3189854    
  943.4343       1000.000      0.1863784    
  956.5657       1000.000      0.4099202E-01
  969.6970       1000.000       0.000000    
  982.8283       1000.000       0.000000    
  995.9596       1000.000       0.000000    
  1009.091       1000.000       0.000000    
  1022.222       1000.000       0.000000    
  1035.354       1000.000       0.000000    
  1048.485       1000.000       0.000000    
  1061.616       1000.000       0.000000    
  1074.747       1000.000       0.000000    
  1087.879       1000.000       0.000000    
  1101.010       1000.000       0.000000    
  1114.141       1000.000       0.000000    
  1127.273       1000.000       0.000000    
  1140.404       1000.000       0.000000    
  1153.535       1000.000       0.000000    
  1166.667       1000.000       0.000000    
  1179.798       1000.000       0.000000    
  1192.929       1000.000       0.000000    
  1206.061       1000.000       0.000000    
  1219.192       1000.000       0.000000    
  1232.323       1000.000       0.000000    
  1245.455       1000.000       0.000000    
  1258.586       1000.000       0.000000    
  1271.717       1000.000       0.000000    
  1284.848       1000.000       0.000000    
  1297.980       1000.000       0.000000    
  1311.111       1000.000       0.000000    
  1324.242       1000.000       0.000000    
  1337.374       1000.000       0.000000    
  1350.505       1000.000       0.000000    
  1363.636       1000.000       0.000000    
  1376.768       1000.000       0.000000    
  1389.899       1000.000       0.000000    
  1403.030       1000.000       0.000000    
  1416.162       1000.000       0.000000    
  1429.293       1000.000       0.000000    
  1442.424       1000.000       0.000000    
  1455.556       1000.000       0.000000    
  1468.687       1000.000       0.000000    
  1481.818       1000.000       0.000000    
  1494.949       1000.000       0.000000    
  1508.081       1000.000       0.000000    
  1521.212       1000.000       0.000000    
  1534.343       1000.000       0.000000    
  1547.475       1000.000       0.000000    
  1560.606       1000.000       0.000000    
  1573.737       1000.000       0.000000    
  1586.869       1000.000       0.000000    
  1600.000       1000.000       0.000000    
  300.0000       1898.990       7.290456    
  313.1313       1898.990       5.612715    
  326.2626       1898.990       5.612360    
  339.3939       1898.990       5.613136    
  352.5253       1898.990       5.611684    
  365.6566       1898.990       5.615562    
  378.7879       1898.990       5.614381    
  391.9192       1898.990       5.735743    
  405.0505       1898.990       5.780944    
  418.1818       1898.990       5.775513    
  431.3131       1898.990       5.772359    
  444.4444       1898.990       5.681998    
  457.5758       1898.990       5.585007    
  470.7071       1898.990       5.245228    
  483.8384       1898.990       5.234964    
  496.9697       1898.990       5.219466    
  510.1010       1898.990       5.215204    
  523.2323       1898.990       4.028691    
  536.3636       1898.990       3.746054    
  549.4949       1898.990       3.888435    
  562.6263       1898.990       3.658098    
  575.7576       1898.990       3.322006    
  588.8889       1898.990       3.075586    
  602.0202       1898.990       2.874758    
  615.1515       1898.990       2.870049    
  628.2828       1898.990       2.721541    
  641.4141       1898.990       2.438878    
  654.5455       1898.990       2.431071    
  667.6768       1898.990       2.408574    
  680.8081       1898.990       2.401663    
  693.9394       1898.990       2.382818    
  707.0707       1898.990       1.974512    
  720.2020       1898.990       1.767166    
  733.3333       1898.990       1.765588    
  746.4646       1898.990       1.754431    
  759.5960       1898.990       1.745768    
  772.7273       1898.990       1.745768    
  785.8586       1898.990       1.735664    
  798.9899       1898.990       1.734493    
  812.1212       1898.990       1.606145    
  825.2525       1898.990       1.543161    
  838.3838       1898.990       1.521240    
  851.5152       1898.990       1.521240    
  864.6465       1898.990       1.489253    
  877.7778       1898.990       1.463203    
  890.9091       1898.990       1.302833    
  904.0404       1898.990       1.013734    
  917.1717       1898.990      0.5726122    
  930.3030       1898.990      0.4663513    
  943.4343       1898.990      0.3147497    
  956.5657       1898.990      0.1970571    
  969.6970       1898.990      0.9340565E-01
  982.8283       1898.990       0.000000    
  995.9596       1898.990       0.000000    
  1009.091       1898.990       0.000000    
  1022.222       1898.990       0.000000    
  1035.354       1898.990       0.000000    
  1048.485       1898.990       0.000000    
  1061.616       1898.990       0.000000    
  1074.747       1898.990       0.000000    
  1087.879       1898.990       0.000000    
  1101.010       1898.990       0.000000    
  1114.141       1898.990       0.000000    
  1127.273       1898.990       0.000000    
  1140.404       1898.990       0.000000    
  1153.535       1898.990       0.000000    
  1166.667       1898.990       0.000000    
  1179.798       1898.990       0.000000    
  1192.929       1898.990       0.000000    
  1206.061       1898.990       0.000000    
  1219.192       1898.990       0.000000    
  1232.323       1898.990       0.000000    
  1245.455       1898.990       0.000000    
  1258.586       1898.990       0.000000    
  1271.717       1898.990       0.000000    
  1284.848       1898.990       0.000000    
  1297.980       1898.990       0.000000    
  1311.111       1898.990       0.000000    
  1324.242       1898.990       0.000000    
  1337.374       1898.990       0.000000    
  1350.505       1898.990       0.000000    
  1363.636       1898.990       0.000000    
  1376.768       1898.990       0.000000    
  1389.899       1898.990       0.000000    
  1403.030       1898.990       0.000000    
  1416.162       1898.990       0.000000    
  1429.293       1898.990       0.000000    
  1442.424       1898.990       0.000000    
  1455.556       1898.990       0.000000    
  1468.687       1898.990       0.000000    
  1481.818       1898.990       0.000000    
  1494.949       1898.990       0.000000    
  1508.081       1898.990       0.000000    
  1521.212       1898.990       0.000000    
  1534.343       1898.990       0.000000    
  1547.475       1898.990       0.000000    
  1560.606       1898.990       0.000000    
  1573.737       1898.990       0.000000    
  1586.869       1898.990       0.000000    
  1600.000       1898.990       0.000000    
  300.0000       2797.980       7.290456    
  313.1313       2797.980       5.613822    
  326.2626       2797.980       5.614253    
  339.3939       2797.980       5.611776    
  352.5253       2797.980       5.615906    
  365.6566       2797.980       4.929873    
  378.7879       2797.980       4.929547    
  391.9192       2797.980       4.929132    
  405.0505       2797.980       4.928622    
  418.1818       2797.980       5.610590    
  431.3131       2797.980       5.612994    
  444.4444       2797.980       5.610780    
  457.5758       2797.980       5.614016    
  470.7071       2797.980       5.611561    
  483.8384       2797.980       5.263179    
  496.9697       2797.980       5.255870    
  510.1010       2797.980       5.229499    
  523.2323       2797.980       4.020775    
  536.3636       2797.980       3.864761    
  549.4949       2797.980       3.671948    
  562.6263       2797.980       3.752002    
  575.7576       2797.980       3.253631    
  588.8889       2797.980       2.944228    
  602.0202       2797.980       2.874968    
  615.1515       2797.980       2.872574    
  628.2828       2797.980       2.865847    
  641.4141       2797.980       2.858832    
  654.5455       2797.980       2.853255    
  667.6768       2797.980       2.541586    
  680.8081       2797.980       2.415801    
  693.9394       2797.980       2.397931    
  707.0707       2797.980       2.376932    
  720.2020       2797.980       2.294181    
  733.3333       2797.980       1.927830    
  746.4646       2797.980       1.748143    
  759.5960       2797.980       1.743617    
  772.7273       2797.980       1.732198    
  785.8586       2797.980       1.735664    
  798.9899       2797.980       1.723060    
  812.1212       2797.980       1.704431    
  825.2525       2797.980       1.709143    
  838.3838       2797.980       1.525734    
  851.5152       2797.980       1.518464    
  864.6465       2797.980       1.495356    
  877.7778       2797.980       1.479024    
  890.9091       2797.980       1.433884    
  904.0404       2797.980       1.423131    
  917.1717       2797.980       1.312252    
  930.3030       2797.980      0.8824459    
  943.4343       2797.980      0.4593683    
  956.5657       2797.980      0.3157225    
  969.6970       2797.980      0.2436105    
  982.8283       2797.980      0.6660586E-01
  995.9596       2797.980       0.000000    
  1009.091       2797.980       0.000000    
  1022.222       2797.980       0.000000    
  1035.354       2797.980       0.000000    
  1048.485       2797.980       0.000000    
  1061.616       2797.980       0.000000    
  1074.747       2797.980       0.000000    
  1087.879       2797.980       0.000000    
  1101.010       2797.980       0.000000    
  1114.141       2797.980       0.000000    
  1127.273       2797.980       0.000000    
  1140.404       2797.980       0.000000    
  1153.535       2797.980       0.000000    
  1166.667       2797.980       0.000000    
  1179.798       2797.980       0.000000    
  1192.929       2797.980       0.000000    
  1206.061       2797.980       0.000000    
  1219.192       2797.980       0.000000    
  1232.323       2797.980       0.000000    
  1245.455       2797.980       0.000000    
  1258.586       2797.980       0.000000    
  1271.717       2797.980       0.000000    
  1284.848       2797.980       0.000000    
  1297.980       2797.980       0.000000    
  1311.111       2797.980       0.000000    
  1324.242       2797.980       0.000000    
  1337.374       2797.980       0.000000    
  1350.505       2797.980       0.000000    
  1363.636       2797.980       0.000000    
  1376.768       2797.980       0.000000    
  1389.899       2797.980       0.000000    
  1403.030       2797.980       0.000000    
  1416.162       2797.980       0.000000    
  1429.293       2797.980       0.000000    
  1442.424       2797.980       0.000000    
  1455.556       2797.980       0.000000    
  1468.687       2797.980       0.000000    
  1481.818       2797.980       0.000000    
  1494.949       2797.980       0.000000    
  1508.081       2797.980       0.000000    
  1521.212       2797.980       0.000000    
  1534.343       2797.980       0.000000    
  1547.475       2797.980       0.000000    
  1560.606       2797.980       0.000000    
  1573.737       2797.980       0.000000    
  1586.869       2797.980       0.000000    
  1600.000       2797.980       0.000000    
  300.0000       3696.970       7.290456    
  313.1313       3696.970                NaN
  326.2626       3696.970       5.538849    
  339.3939       3696.970       5.615572    
  352.5253       3696.970       4.928271    
  365.6566       3696.970       4.926616    
  378.7879       3696.970       4.925971    
  391.9192       3696.970       4.928880    
  405.0505       3696.970       4.925075    
  418.1818       3696.970       4.928273    
  431.3131       3696.970       4.922623    
  444.4444       3696.970       4.922506    
  457.5758       3696.970       4.918738    
  470.7071       3696.970       4.919261    
  483.8384       3696.970       4.912583    
  496.9697       3696.970       4.850587    
  510.1010       3696.970       3.952933    
  523.2323       3696.970       3.945822    
  536.3636       3696.970       3.880083    
  549.4949       3696.970       3.820388    
  562.6263       3696.970       3.346939    
  575.7576       3696.970       3.315373    
  588.8889       3696.970       2.882637    
  602.0202       3696.970       2.875304    
  615.1515       3696.970       2.874969    
