|6.6.6
perid_DMM_0h2o_hp11ver_10282020_4.tab                                                               
           2
T(K)    
   273.14999999999998     
   16.160101010101009     
         100
P(bar)  
   1.0000000000000000     
   1010.0909090909091     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  273.1500       1.000000       3360.462    
  289.3101       1.000000       3347.414    
  305.4702       1.000000       3345.915    
  321.6303       1.000000       3365.026    
  337.7904       1.000000       3358.349    
  353.9505       1.000000       3345.835    
  370.1106       1.000000       3346.592    
  386.2707       1.000000       3344.423    
  402.4308       1.000000       3335.204    
  418.5909       1.000000       3334.003    
  434.7510       1.000000       3338.109    
  450.9111       1.000000       3324.389    
  467.0712       1.000000       3329.953    
  483.2313       1.000000       3329.021    
  499.3914       1.000000       3325.218    
  515.5515       1.000000       3279.890    
  531.7116       1.000000       3249.166    
  547.8717       1.000000       3247.415    
  564.0318       1.000000       3247.099    
  580.1919       1.000000       3244.378    
  596.3520       1.000000       3244.323    
  612.5121       1.000000       3243.092    
  628.6722       1.000000       3239.647    
  644.8323       1.000000       3239.624    
  660.9924       1.000000       3238.472    
  677.1525       1.000000       3236.891    
  693.3126       1.000000       3235.296    
  709.4727       1.000000       3234.089    
  725.6328       1.000000       3231.930    
  741.7929       1.000000       3231.213    
  757.9530       1.000000       3229.475    
  774.1131       1.000000       3227.960    
  790.2732       1.000000       3226.651    
  806.4333       1.000000       3225.057    
  822.5934       1.000000       3223.677    
  838.7535       1.000000       3221.921    
  854.9136       1.000000       3220.486    
  871.0737       1.000000       3218.877    
  887.2338       1.000000       3217.383    
  903.3939       1.000000       3216.079    
  919.5540       1.000000       3214.333    
  935.7141       1.000000       3212.965    
  951.8742       1.000000       3211.179    
  968.0343       1.000000       3209.572    
  984.1944       1.000000       3208.099    
  1000.355       1.000000       3206.482    
  1016.515       1.000000       3205.001    
  1032.675       1.000000       3203.372    
  1048.835       1.000000       3201.710    
  1064.995       1.000000       3200.178    
  1081.155       1.000000       3198.518    
  1097.315       1.000000       3197.068    
  1113.475       1.000000       3195.334    
  1129.635       1.000000       3193.710    
  1145.795       1.000000       3192.143    
  1161.956       1.000000       3190.499    
  1178.116       1.000000       3189.099    
  1194.276       1.000000       3187.481    
  1210.436       1.000000       3185.853    
  1226.596       1.000000       3184.263    
  1242.756       1.000000       3182.588    
  1258.916       1.000000       3180.964    
  1275.076       1.000000       3179.306    
  1291.236       1.000000       3177.334    
  1307.396       1.000000       3175.723    
  1323.557       1.000000       3173.969    
  1339.717       1.000000       3172.677    
  1355.877       1.000000       3171.007    
