|6.6.6
perid_DMM_sat_hp11ver_10262020_4.tab                                                                
           2
T(K)    
   273.14999999999998     
   16.160101010101009     
         100
P(bar)  
   1.0000000000000000     
   1010.0909090909091     
         100
           3
T(K)           P(bar)         rho,kg/m3     
  273.1500       1.000000       2779.104    
  289.3101       1.000000       2778.601    
  305.4702       1.000000       2778.066    
  321.6303       1.000000       2809.910    
  337.7904       1.000000       2811.501    
  353.9505       1.000000       2808.584    
  370.1106       1.000000       2706.617    
  386.2707       1.000000       2708.802    
  402.4308       1.000000       2746.180    
  418.5909       1.000000       2786.036    
  434.7510       1.000000       2788.144    
  450.9111       1.000000       2764.640    
  467.0712       1.000000       2880.141    
  483.2313       1.000000       2884.467    
  499.3914       1.000000       2889.782    
  515.5515       1.000000       3014.191    
  531.7116       1.000000       3079.696    
  547.8717       1.000000       3074.522    
  564.0318       1.000000       3073.255    
  580.1919       1.000000       3073.404    
  596.3520       1.000000       3084.101    
  612.5121       1.000000       3226.316    
  628.6722       1.000000       3210.864    
  644.8323       1.000000       3227.504    
  660.9924       1.000000       3236.819    
  677.1525       1.000000       3236.576    
  693.3126       1.000000       3235.045    
  709.4727       1.000000       3233.788    
  725.6328       1.000000       3232.075    
  741.7929       1.000000       3230.498    
  757.9530       1.000000       3229.223    
  774.1131       1.000000       3227.827    
  790.2732       1.000000       3226.451    
  806.4333       1.000000       3225.005    
  822.5934       1.000000       3223.397    
  838.7535       1.000000       3221.937    
  854.9136       1.000000       3220.544    
  871.0737       1.000000       3218.841    
  887.2338       1.000000       3217.317    
  903.3939       1.000000       3215.895    
  919.5540       1.000000       3214.318    
  935.7141       1.000000       3212.774    
  951.8742       1.000000       3211.210    
  968.0343       1.000000       3209.701    
  984.1944       1.000000       3208.059    
  1000.355       1.000000       3206.453    
  1016.515       1.000000       3204.987    
  1032.675       1.000000       3203.451    
  1048.835       1.000000       3201.745    
  1064.995       1.000000       3200.103    
  1081.155       1.000000       3198.443    
  1097.315       1.000000       3197.048    
  1113.475       1.000000       3195.397    
  1129.635       1.000000       3193.763    
  1145.795       1.000000       3192.201    
  1161.956       1.000000       3190.577    
  1178.116       1.000000       3189.112    
  1194.276       1.000000       3187.529    
  1210.436       1.000000       3185.831    
  1226.596       1.000000       3184.227    
  1242.756       1.000000       3182.554    
  1258.916       1.000000       3180.943    
  1275.076       1.000000       3179.252    
  1291.236       1.000000       3177.192    
  1307.396       1.000000       3175.609    
  1323.557       1.000000       3173.821    
  1339.717       1.000000       3172.647    
  1355.877       1.000000       3170.989    
  1372.037       1.000000       3169.006    
  1388.197       1.000000       3167.322    
  1404.357       1.000000       3165.460    
  1420.517       1.000000       3163.756    
  1436.677       1.000000       3162.182    
  1452.837       1.000000       3160.457    
  1468.997       1.000000       3158.930    
  1485.158       1.000000       3157.219    
  1501.318       1.000000       3154.851    
  1517.478       1.000000       3153.298    
  1533.638       1.000000       3151.559    
  1549.798       1.000000       3150.188    
  1565.958       1.000000       3148.366    
  1582.118       1.000000       3146.107    
  1598.278       1.000000       3144.231    
  1614.438       1.000000       3142.306    
  1630.598       1.000000       3141.017    
  1646.759       1.000000       3138.622    
  1662.919       1.000000       3136.799    
  1679.079       1.000000       3134.862    
  1695.239       1.000000       3133.004    
  1711.399       1.000000       3131.541    
  1727.559       1.000000       3129.088    
  1743.719       1.000000       3126.956    
  1759.879       1.000000       3074.774    
  1776.039       1.000000       3072.796    
  1792.199       1.000000       3070.522    
  1808.360       1.000000       3068.957    
  1824.520       1.000000       3066.963    
  1840.680       1.000000       3064.956    
  1856.840       1.000000       3062.640    
  1873.000       1.000000       3050.500    
  273.1500       1011.091       2691.214    
  289.3101       1011.091       2690.881    
  305.4702       1011.091       2728.612    
  321.6303       1011.091       2732.457    
  337.7904       1011.091       2730.387    
  353.9505       1011.091       2730.435    
  370.1106       1011.091       2729.106    
  386.2707       1011.091       2712.374    
  402.4308       1011.091       2721.387    
  418.5909       1011.091       2714.323    
  434.7510       1011.091       2715.334    
  450.9111       1011.091       2719.527    
  467.0712       1011.091       2723.132    
  483.2313       1011.091       2765.878    
  499.3914       1011.091       2767.471    
  515.5515       1011.091       2737.043    
  531.7116       1011.091       2737.980    
  547.8717       1011.091       2752.962    
  564.0318       1011.091       2761.266    
  580.1919       1011.091       2747.651    
  596.3520       1011.091       2753.356    
  612.5121       1011.091       2772.960    
  628.6722       1011.091       2820.354    
  644.8323       1011.091       2868.492    
  660.9924       1011.091       2868.069    
  677.1525       1011.091       2869.597    
  693.3126       1011.091       2869.583    
  709.4727       1011.091       2868.978    
  725.6328       1011.091       2872.749    
  741.7929       1011.091       2871.808    
  757.9530       1011.091       3011.423    
  774.1131       1011.091       3005.374    
  790.2732       1011.091       3054.559    
  806.4333       1011.091       3053.833    
  822.5934       1011.091       3055.145    
  838.7535       1011.091       3054.732    
  854.9136       1011.091       3052.812    
  871.0737       1011.091       3053.072    
  887.2338       1011.091       3053.102    
  903.3939       1011.091       3097.287    
  919.5540       1011.091       3176.574    
  935.7141       1011.091       3186.861    
  951.8742       1011.091       3189.306    
  968.0343       1011.091       3199.322    
  984.1944       1011.091       3212.012    
  1000.355       1011.091       3215.160    
  1016.515       1011.091       3212.386    
  1032.675       1011.091       3212.047    
  1048.835       1011.091       3210.262    
  1064.995       1011.091       3208.315    
  1081.155       1011.091       3207.680    
  1097.315       1011.091       3206.497    
  1113.475       1011.091       3204.726    
  1129.635       1011.091       3202.903    
  1145.795       1011.091       3201.769    
  1161.956       1011.091       3199.961    
  1178.116       1011.091       3197.133    
  1194.276       1011.091       3195.589    
  1210.436       1011.091       3194.020    
  1226.596       1011.091       3192.425    
  1242.756       1011.091       3190.761    
  1258.916       1011.091       3189.171    
  1275.076       1011.091       3187.539    
  1291.236       1011.091       3186.137    
  1307.396       1011.091       3184.297    
  1323.557       1011.091       3183.048    
  1339.717       1011.091       3180.998    
  1355.877       1011.091       3179.387    
  1372.037       1011.091       3177.628    
  1388.197       1011.091       3175.969    
  1404.357       1011.091       3174.332    
  1420.517       1011.091       3173.073    
  1436.677       1011.091       3170.927    
  1452.837       1011.091       3169.127    
