|6.6.6
perid_DMM_sat_hp11ver_10262020_5.tab                                                                
           2
T(K)    
   273.14999999999998     
   16.160101010101009     
         100
P(bar)  
   1.0000000000000000     
   1010.0909090909091     
         100
           3
T(K)           P(bar)         H2O,wt%       
  273.1500       1.000000       11.46412    
  289.3101       1.000000       11.46410    
  305.4702       1.000000       11.46407    
  321.6303       1.000000       11.25780    
  337.7904       1.000000       11.24674    
  353.9505       1.000000       11.25732    
  370.1106       1.000000       11.62823    
  386.2707       1.000000       11.58328    
  402.4308       1.000000       10.69810    
  418.5909       1.000000       10.22752    
  434.7510       1.000000       10.07762    
  450.9111       1.000000       10.09367    
  467.0712       1.000000       7.487821    
  483.2313       1.000000       7.379884    
  499.3914       1.000000       7.253621    
  515.5515       1.000000       4.502070    
  531.7116       1.000000       3.343527    
  547.8717       1.000000       3.313923    
  564.0318       1.000000       3.304274    
  580.1919       1.000000       3.271882    
  596.3520       1.000000       3.015288    
  612.5121       1.000000      0.6364036    
  628.6722       1.000000      0.2272563    
  644.8323       1.000000      0.9370570E-01
  660.9924       1.000000      0.5767488E-02
  677.1525       1.000000       0.000000    
  693.3126       1.000000       0.000000    
  709.4727       1.000000       0.000000    
  725.6328       1.000000       0.000000    
  741.7929       1.000000       0.000000    
  757.9530       1.000000       0.000000    
  774.1131       1.000000       0.000000    
  790.2732       1.000000       0.000000    
  806.4333       1.000000       0.000000    
  822.5934       1.000000       0.000000    
  838.7535       1.000000       0.000000    
  854.9136       1.000000       0.000000    
  871.0737       1.000000       0.000000    
  887.2338       1.000000       0.000000    
  903.3939       1.000000       0.000000    
  919.5540       1.000000       0.000000    
  935.7141       1.000000       0.000000    
  951.8742       1.000000       0.000000    
  968.0343       1.000000       0.000000    
  984.1944       1.000000       0.000000    
  1000.355       1.000000       0.000000    
  1016.515       1.000000       0.000000    
  1032.675       1.000000       0.000000    
  1048.835       1.000000       0.000000    
  1064.995       1.000000       0.000000    
  1081.155       1.000000       0.000000    
  1097.315       1.000000       0.000000    
  1113.475       1.000000       0.000000    
  1129.635       1.000000       0.000000    
  1145.795       1.000000       0.000000    
  1161.956       1.000000       0.000000    
  1178.116       1.000000       0.000000    
  1194.276       1.000000       0.000000    
  1210.436       1.000000       0.000000    
  1226.596       1.000000       0.000000    
  1242.756       1.000000       0.000000    
  1258.916       1.000000       0.000000    
  1275.076       1.000000       0.000000    
  1291.236       1.000000       0.000000    
  1307.396       1.000000       0.000000    
  1323.557       1.000000       0.000000    
  1339.717       1.000000       0.000000    
  1355.877       1.000000       0.000000    
  1372.037       1.000000       0.000000    
  1388.197       1.000000       0.000000    
  1404.357       1.000000       0.000000    
  1420.517       1.000000       0.000000    
  1436.677       1.000000       0.000000    
  1452.837       1.000000       0.000000    
  1468.997       1.000000       0.000000    
  1485.158       1.000000       0.000000    
  1501.318       1.000000       0.000000    
  1517.478       1.000000       0.000000    
  1533.638       1.000000       0.000000    
  1549.798       1.000000       0.000000    
  1565.958       1.000000       0.000000    
  1582.118       1.000000       0.000000    
  1598.278       1.000000       0.000000    
  1614.438       1.000000       0.000000    
  1630.598       1.000000       0.000000    
  1646.759       1.000000       0.000000    
  1662.919       1.000000       0.000000    
  1679.079       1.000000       0.000000    
  1695.239       1.000000       0.000000    
  1711.399       1.000000       0.000000    
  1727.559       1.000000       0.000000    
  1743.719       1.000000       0.000000    
  1759.879       1.000000       0.000000    
  1776.039       1.000000       0.000000    
  1792.199       1.000000       0.000000    
  1808.360       1.000000       0.000000    
  1824.520       1.000000       0.000000    
  1840.680       1.000000       0.000000    
  1856.840       1.000000       0.000000    
  1873.000       1.000000       0.000000    
  273.1500       1011.091       11.88907    
  289.3101       1011.091       11.88907    
  305.4702       1011.091       11.63372    
  321.6303       1011.091       11.61674    
  337.7904       1011.091       11.62090    
  353.9505       1011.091       11.61974    
  370.1106       1011.091       11.62304    
  386.2707       1011.091       11.63053    
  402.4308       1011.091       11.55458    
  418.5909       1011.091       11.57176    
  434.7510       1011.091       11.56000    
  450.9111       1011.091       11.47879    
  467.0712       1011.091       11.30924    
  483.2313       1011.091       10.51819    
  499.3914       1011.091       10.44988    
  515.5515       1011.091       10.86914    
